Knowledge statement,Subject,Key stage,Year group,Broad topic,Specific topic,Document,page,introduction,examples,glossary,appendix,purpose of study,aims,attainment targets,statutory guidance,non-statutory guidance,digital literacy (AI),financial literacy (AI),media literacy (AI),oracy (AI),climate and sustainability (AI),digital literacy (SL),financial literacy (SL),media literacy (SL),oracy (SL),climate and sustSLnability (SL)
"Through building up a body of key foundational knowledge and concepts, pupils should be encouraged to recognise the power of rational explanation and develop a sense of excitement and curiosity about natural phenomena.",Science,,,,,NC master,168,Y,,,,Y,,,,,,,,,,,,,,
"They should be encouraged to understand how science can be used to explain what is occurring, predict how things will behave, and analyse causes.",Science,,,,,NC master,168,Y,,,,Y,,,,,,,,,,,,,,
"The national curriculum for science aims to ensure that all pupils: develop scientific knowledge and conceptual understanding through the specific disciplines of biology, chemistry and physics",Science,,,,,NC master,168,Y,,,,,Y,,,,,,,,,,,,,
"The national curriculum for science aims to ensure that all pupils: develop understanding of the nature, processes and methods of science through different types of science enquiries that help them to answer scientific questions about the world around them",Science,,,,,NC master,168,Y,,,,,Y,,,,,,,,,,,,,
"The national curriculum for science aims to ensure that all pupils: are equipped with the scientific knowledge required to understand the uses and implications of science, today and for the future.",Science,,,,,NC master,168,Y,,,,,Y,,,,,,,,Y,,,,,Y
"The programmes of study describe a sequence of knowledge and concepts. While it is important that pupils make progress, it is also vitally important that they develop secure understanding of each key block of knowledge and concepts in order to progress to the next stage.",Science,,,,Scientific knowledge and conceptual understanding,NC master,168,Y,,,,,,,Y,,,,,,,,,,,
"Insecure, superficial understanding will not allow genuine progression: pupils may struggle at key points of transition (such as between primary and secondary school), build up serious misconceptions, and/or have significant difficulties in understanding higher-order content.",Science,,,,Scientific knowledge and conceptual understanding,NC master,168,Y,,,,,,,Y,,,,,,,,,,,
"Pupils should be able to describe associated processes and key characteristics in common language, but they should also be familiar with, and use, technical terminology accurately and precisely.",Science,,,,Scientific knowledge and conceptual understanding,NC master,168,Y,,,,,,,Y,,,,,Y,,,,,Y,
They should build up an extended specialist vocabulary.,Science,,,,Scientific knowledge and conceptual understanding,NC master,168,Y,,,,,,,Y,,,,,Y,,,,,Y,
"They should also apply their mathematical knowledge to their understanding of science, including collecting, presenting and analysing data.",Science,,,,Scientific knowledge and conceptual understanding,NC master,168,Y,,,,,,,Y,,,,,,,,,,,
"The social and economic implications of science are important but, generally, they are taught most appropriately within the wider school curriculum: teachers will wish to use different contexts to maximise their pupils' engagement with and motivation to study science.",Science,,,,Scientific knowledge and conceptual understanding,NC master,168,Y,,,,,,,Y,,,,,,,,,,,
"Working scientifically' specifies the understanding of the nature, processes and methods of science for each year group. It should not be taught as a separate strand.",Science,,,Working scientifically,,NC master,169,Y,,,,,,,,Y,,,,,,,,,,
"The notes and guidance give examples of how 'working scientifically' might be embedded within the content of biology, chemistry and physics, focusing on the key features of scientific enquiry, so that pupils learn to use a variety of approaches to answer relevant scientific questions.",Science,,,Working scientifically,,NC master,169,Y,Y,,,,,,,Y,,,,,,,,,,
"These types of scientific enquiry should include: observing over time; pattern seeking; identifying, classifying and grouping; comparative and fair testing (controlled investigations); and researching using secondary sources.",Science,,,Working scientifically,,NC master,169,Y,,,,,,,Y,,,,,,,,,,,
"Pupils should seek answers to questions through collecting, analysing and presenting data.",Science,,,Working scientifically,,NC master,169,Y,,,,,,,Y,,,,,,,,,,,
"Working scientifically' will be developed further at key stages 3 and 4, once pupils have built up sufficient understanding of science to engage meaningfully in more sophisticated discussion of experimental design and control.",Science,,,Working scientifically,,NC master,169,Y,,,,,,,,Y,,,,,,,,,,
"The national curriculum for science reflects the importance of spoken language in pupils' development across the whole curriculum - cognitively, socially and linguistically.",Science,,,Spoken language,,NC master,169,Y,,,,,,,Y,,,,,Y,,,,,Y,
The quality and variety of language that pupils hear and speak are key factors in developing their scientific vocabulary and articulating scientific concepts clearly and precisely.,Science,,,Spoken language,,NC master,169,Y,,,,,,,Y,,,,,Y,,,,,Y,
"They must be assisted in making their thinking clear, both to themselves and others, and teachers should ensure that pupils build secure foundations by using discussion to probe and remedy their misconceptions.",Science,,,Spoken language,,NC master,169,Y,,,,,,,Y,,,,,Y,,,,,Y,
The programmes of study for science are set out year-by-year for key stages 1 and 2.,Science,,,,,NC master,169,Y,,,,,,,,Y,,,,,,,,,,
"Schools are, however, only required to teach the relevant programme of study by the end of the key stage.",Science,,,,,NC master,169,Y,,,,,,,,Y,,,,,,,,,,
"Within each key stage, schools therefore have the flexibility to introduce content earlier or later than set out in the programme of study.",Science,,,,,NC master,169,Y,,,,,,,,Y,,,,,,,,,,
"In addition, schools can introduce key stage content during an earlier key stage if appropriate.",Science,,,,,NC master,169,Y,,,,,,,,Y,,,,,,,,,,
All schools are also required to set out their school curriculum for science on a year-by-year basis and make this information available online.,Science,,,,,NC master,169,Y,,,,,,,Y,,Y,,,,,Y,,,,
"By the end of each key stage, pupils are expected to know, apply and understand the matters, skills and processes specified in the relevant programme of study.",Science,,,,,NC master,169,Y,,,,,,Y,,,,,,,,,,,,
Schools are not required by law to teach the content indicated as being 'non-statutory'.,Science,,,,,NC master,169,Y,,,,,,,,Y,,,,,,,,,,
"The principal focus of science teaching in key stage 1 is to enable pupils to experience and observe phenomena, looking more closely at the natural and humanly-constructed world around them. They should be encouraged to be curious and ask questions about what they notice. They should be helped to develop their understanding of scientific ideas by using different types of scientific enquiry to answer their own questions, including observing changes over a period of time, noticing patterns, grouping and classifying things, carrying out simple comparative tests, and finding things out using secondary sources of information. They should begin to use simple scientific language to talk about what they have found out and communicate their ideas to a range of audiences in a variety of ways. Most of the learning about science should be done through the use of first-hand practical experiences, but there should also be some use of appropriate secondary sources, such as books, photographs and videos.",Science,Key stage 1,,,,NC master,170,Y,,,,,,,,Y,,,,Y,Y,,,,Y,Y
"Working scientifically' is described separately in the programme of study, but must always be taught through and clearly related to the teaching of substantive science content in the programme of study. Throughout the notes and guidance, examples show how scientific methods and skills might be linked to specific elements of the content.",Science,Key stage 1,,,,NC master,170,Y,,,,,,,,Y,,,,,,,,,,
Pupils should read and spell scientific vocabulary at a level consistent with their increasing word reading and spelling knowledge at key stage 1.,Science,Key stage 1,,,,NC master,170,Y,,,,,,,,Y,,,,,,,,,,
"During years 1 and 2, pupils should be taught to use the following practical scientific methods, processes and skills through the teaching of the programme of study content: asking simple questions and recognising that they can be answered in different ways",Science,Key stage 1,Years 1 and 2,Working scientifically,,NC master,171,,,,,,,,Y,,,,,Y,,,,,Y,
"During years 1 and 2, pupils should be taught to use the following practical scientific methods, processes and skills through the teaching of the programme of study content: observing closely, using simple equipment",Science,Key stage 1,Years 1 and 2,Working scientifically,,NC master,171,,,,,,,,Y,,,,,,,,,,,
"During years 1 and 2, pupils should be taught to use the following practical scientific methods, processes and skills through the teaching of the programme of study content: performing simple tests",Science,Key stage 1,Years 1 and 2,Working scientifically,,NC master,171,,,,,,,,Y,,,,,,,,,,,
"During years 1 and 2, pupils should be taught to use the following practical scientific methods, processes and skills through the teaching of the programme of study content: identifying and classifying",Science,Key stage 1,Years 1 and 2,Working scientifically,,NC master,171,,,,,,,,Y,,,,,,,,,,,
"During years 1 and 2, pupils should be taught to use the following practical scientific methods, processes and skills through the teaching of the programme of study content: using their observations and ideas to suggest answers to questions",Science,Key stage 1,Years 1 and 2,Working scientifically,,NC master,171,,,,,,,,Y,,,,,Y,,,,,Y,
"During years 1 and 2, pupils should be taught to use the following practical scientific methods, processes and skills through the teaching of the programme of study content: gathering and recording data to help in answering questions.",Science,Key stage 1,Years 1 and 2,Working scientifically,,NC master,171,,,,,,,,Y,,,,,,,,,,,
